auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
QF33.2,19,3,392,,V,,FALSE,FALSE,,,Well Balanced,3,15.8%,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,TRUE,
LG49,25,12,1062,U,Misc,Complex,FALSE,TRUE,,,Broken Mechanics,0,0.0%,0,0,15,10,0,0,15,0,0,0,0,,1,,,,Window to the Past,TRUE,Roshar
MR31,22,7,454,,E,Semi Standard,FALSE,FALSE,,,,6,27.3%,2,0,11,11,1,0,0,0,5,5,0,,0,,,,Spiritual Warfare,TRUE,Sel
QF34,17,6,177,,E,Semi Standard,FALSE,FALSE,,,,4,23.5%,0,0,11,5,4,0,0,0,1,6,0,,0,,,,A Great Calamity,TRUE,
LG50,22,7,426,,V,Standard,FALSE,FALSE,,,,5,22.7%,3,1,14,8,4,0,0,1,1,6,2,,3,,,,News of My Demise,TRUE,Scadrial
MR32,20,6,583,,E,Complex,FALSE,FALSE,,,,4,20.0%,1,0,11,8,6,0,0,0,0,5,0,,1,,,,The Blight Encroaches,TRUE,Wheel of Time
LG51,19,8,458,CON,E,Standard,FALSE,FALSE,,,Balanced,3,15.8%,1,0,16,3,5,0,0,0,0,7,4,,3,,,,A Traitor in the Obligators,TRUE,Scadrial
QF35,21,,288,,FFA,Faction/FFA,FALSE,FALSE,,,,0,0.0%,0,0,18,2,0,0,18,0,0,0,0,,0,,,,The Melee,TRUE,Rithmatist
AG5,30,,1226,FAC,F,Complex,FALSE,TRUE,,,,0,0.0%,0,0,12,18,0,0,7,0,0,5,0,,8,,,,One Final Blaze of Light,TRUE,Cross-Cosmere
MR33,14,,185,,V,Standard,FALSE,FALSE,,,,3,21.4%,2,0,8,6,2,3,0,0,0,3,0,,2,,,,Danger in the Terris Peaks,TRUE,Scadrial
LG52,18,,472,,E,Semi Standard,FALSE,FALSE,,,,5,27.8%,2,0,12,6,6,0,0,0,0,6,0,,0,,,,Treachery in the South,TRUE,Scadrial
QF36,15,,222,,F,,FALSE,FALSE,,,,0,0.0%,0,0,0,15,0,0,0,0,0,0,0,,1,,,,Dream Thieves,TRUE,
LG53,24,,1116,,V,,FALSE,FALSE,,,,5,20.8%,4,1,12,0,5,0,0,1,0,6,0,,0,,,,The Fate of the Forum,TRUE,
MR34,13,,220,,V,Basic,FALSE,FALSE,,,,3,23.1%,3,0,12,1,4,0,0,0,0,8,0,,0,,,,Death by Lantern Light,TRUE,Rithmatist
LG54,17,,528,,E,Complex,FALSE,FALSE,,,,5,29.4%,0,0,11,6,7,0,0,0,0,4,0,,3,,,,Cognitive Diversions,TRUE,Roshar
QF37,14,,258,,V,Semi Standard,FALSE,FALSE,,,,3,21.4%,3,0,11,3,4,0,0,0,0,7,0,,2,,,,Black Shadows in T’Telir,TRUE,Nalthis
LG55,21,,918,,V,Basic,FALSE,FALSE,,,,4,19.0%,3,0,16,5,5,3,0,0,0,8,0,,1,,,,Disquiet,TRUE,Scadrial
MR35,17,,541,,V,,FALSE,FALSE,,,,4,23.5%,3,0,14,3,3,0,4,0,0,7,0,,3,,,,Final Flight,,
